id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,4,3,1,25.002621,M.USER.APP.1,70,2621,0
1,LINK,3,1,1,20.002621,M.USER.APP.1,95.002621,2621,0
2,LINK,2,1,1,10.002621,M.USER.APP.1,120,2621,0
3,LINK,0,3,1,25.002621,M.USER.APP.1,120,2621,1
4,LINK,4,3,1,25.002621,M.USER.APP.1,120,2621,2
5,LINK,4,3,1,25.002621,M.USER.APP.1,120,2621,3
3,LINK,3,1,1,20.002621,M.USER.APP.1,145.002621,2621,1
4,LINK,3,1,1,20.002621,M.USER.APP.1,145.002621,2621,2
6,LINK,4,3,1,25.002621,M.USER.APP.1,170,2621,2
5,LINK,3,1,1,20.002621,M.USER.APP.1,170.005242,2621,2
6,LINK,3,1,1,20.002621,M.USER.APP.1,195.00786300000001,2621,1
7,LINK,2,1,1,10.002621,M.USER.APP.1,220,2621,1
8,LINK,0,3,1,25.002621,M.USER.APP.1,220,2621,2
9,LINK,4,3,1,25.002621,M.USER.APP.1,220,2621,3
10,LINK,4,3,1,25.002621,M.USER.APP.1,220,2621,4
8,LINK,3,1,1,20.002621,M.USER.APP.1,245.002621,2621,1
9,LINK,3,1,1,20.002621,M.USER.APP.1,245.002621,2621,2
11,LINK,4,3,1,25.002621,M.USER.APP.1,270,2621,2
10,LINK,3,1,1,20.002621,M.USER.APP.1,270.005242,2621,2
11,LINK,3,1,1,20.002621,M.USER.APP.1,295.007863,2621,1
12,LINK,2,1,1,10.002621,M.USER.APP.1,320,2621,1
13,LINK,0,3,1,25.002621,M.USER.APP.1,320,2621,2
14,LINK,4,3,1,25.002621,M.USER.APP.1,320,2621,3
15,LINK,4,3,1,25.002621,M.USER.APP.1,320,2621,4
13,LINK,3,1,1,20.002621,M.USER.APP.1,345.002621,2621,1
14,LINK,3,1,1,20.002621,M.USER.APP.1,345.002621,2621,2
16,LINK,4,3,1,25.002621,M.USER.APP.1,370,2621,2
15,LINK,3,1,1,20.002621,M.USER.APP.1,370.00524199999995,2621,2
16,LINK,3,1,1,20.002621,M.USER.APP.1,395.00786299999993,2621,1
18,LINK,0,3,1,25.002621,M.USER.APP.1,420,2621,1
19,LINK,4,3,1,25.002621,M.USER.APP.1,420,2621,2
20,LINK,4,3,1,25.002621,M.USER.APP.1,420,2621,3
21,LINK,4,3,1,25.002621,M.USER.APP.1,470,2621,1
23,LINK,0,3,1,25.002621,M.USER.APP.1,520,2621,0
24,LINK,4,3,1,25.002621,M.USER.APP.1,520,2621,1
25,LINK,4,3,1,25.002621,M.USER.APP.1,520,2621,2
26,LINK,4,3,1,25.002621,M.USER.APP.1,570,2621,1
28,LINK,0,3,1,25.002621,M.USER.APP.1,620,2621,0
29,LINK,4,3,1,25.002621,M.USER.APP.1,620,2621,1
30,LINK,4,3,1,25.002621,M.USER.APP.1,620,2621,2
31,LINK,4,3,1,25.002621,M.USER.APP.1,670,2621,1
